louvain_cluster,count,top_gt_class,n_gt_classes
538,16,gazelle,1
278,16,Shih-Tzu,4
336,16,weasel,7
210,16,Brabancon_griffon,5
241,16,sewing_machine,6
247,16,king_crab,2
373,16,toaster,8
271,15,Shih-Tzu,9
769,15,wooden_spoon,5
696,15,mailbag,8
683,15,ballpoint,3
49,15,green_mamba,5
729,15,breakwater,8
323,15,sea_snake,11
299,15,Airedale,11
788,15,promontory,7
276,15,Bedlington_terrier,7
557,15,paper_towel,4
574,15,squirrel_monkey,4
136,15,quilt,7
489,15,tiger_cat,3
636,15,fire_screen,6
523,15,plow,8
119,15,cinema,7
107,15,whiptail,6
599,15,analog_clock,11
606,15,espresso_maker,9
603,15,park_bench,10
617,15,combination_lock,9
620,15,shopping_basket,11
616,15,beer_bottle,14
578,15,can_opener,10
182,15,fiddler_crab,4
418,15,muzzle,6
434,15,wok,5
203,15,diaper,5
650,15,mobile_home,10
401,15,Sealyham_terrier,5
69,15,European_fire_salamander,4
657,15,printer,5
647,15,balloon,5
245,15,freight_car,9
354,15,grocery_store,7
233,15,plate,6
362,15,Staffordshire_bullterrier,7
764,15,binder,13
777,15,wooden_spoon,5
3,15,butcher_shop,6
806,15,earthstar,8
297,14,Dutch_oven,6
289,14,hammer,6
526,14,bucket,2
518,14,black_widow,6
562,14,boathouse,7
797,14,sweatshirt,11
51,14,colobus,8
778,14,plow,9
736,14,stretcher,13
802,14,packet,8
507,14,hook,6
509,14,mosquito_net,5
250,14,radiator,6
415,14,dishrag,9
416,14,quilt,5
66,14,catamaran,3
370,14,Irish_water_spaniel,5
357,14,kuvasz,8
450,14,Siberian_husky,4
455,14,packet,9
82,14,file,5
704,14,window_shade,4
610,14,plunger,4
547,14,squirrel_monkey,6
114,14,American_alligator,4
425,14,ladle,2
202,14,paddle,6
110,14,agama,10
732,14,hook,4
41,14,wool,12
13,14,spaghetti_squash,7
214,14,quilt,2
111,14,snorkel,7
467,14,Eskimo_dog,3
495,14,pier,7
493,14,Petri_dish,4
766,13,notebook,4
37,13,lampshade,11
733,13,bath_towel,8
725,13,spotlight,4
151,13,chain,10
554,13,dough,6
137,13,banded_gecko,11
28,13,standard_schnauzer,8
747,13,mixing_bowl,4
48,13,indigo_bunting,6
752,13,cassette_player,3
317,13,bluetick,4
525,13,hare,7
344,13,dingo,7
311,13,spotlight,6
341,13,French_horn,10
193,13,Crock_Pot,8
152,13,coffee_mug,5
514,13,combination_lock,11
259,13,screen,7
353,13,sloth_bear,5
358,13,monastery,3
360,13,Airedale,7
412,13,mailbag,8
78,13,axolotl,6
371,13,Kerry_blue_terrier,3
481,13,bib,6
175,13,mouse,7
61,13,cassette_player,5
558,13,paper_towel,2
563,13,hand_blower,7
740,13,shower_curtain,7
651,13,shopping_basket,9
739,13,dishrag,10
160,13,jigsaw_puzzle,7
535,13,altar,7
172,13,analog_clock,7
367,13,toilet_tissu,4
461,13,jaguar,6
179,13,trilobite,5
478,13,night_snake,4
386,13,Lakeland_terrier,8
544,13,wool,9
304,13,Egyptian_cat,8
615,13,bucket,12
700,13,studio_couch,8
679,13,ballpoint,3
94,13,cuirass,5
230,13,toilet_seat,6
685,13,plane,8
608,13,paper_towel,9
308,13,hen-of-the-woods,4
644,13,apron,5
128,13,thunder_snake,3
218,13,nematode,2
213,13,echidna,13
125,13,valley,7
104,13,European_gallinule,9
641,13,apiary,6
786,13,brass,4
302,12,bloodhound,6
300,12,bloodhound,6
296,12,pick,5
346,12,motor_scooter,3
292,12,Afghan_hound,4
293,12,palace,6
572,12,titi,4
463,12,custard_apple,5
385,12,Kerry_blue_terrier,6
249,12,isopod,5
502,12,rhinoceros_beetle,12
382,12,slide_rule,6
598,12,table_lamp,9
587,12,prayer_rug,8
581,12,toy_poodle,5
583,12,eel,7
512,12,cassette_player,4
496,12,leafhopper,6
248,12,king_crab,11
282,12,papillon,10
695,12,apron,8
284,12,drumstick,3
705,12,sewing_machine,6
505,12,bath_towel,4
363,12,planetarium,9
